customer_id,campaign_id,sent_date,responded,response_date,bonus_claimed,campaign_cost
CU_005893,CAMP_00001,2024-01-07,False,,False,15.0
CU_005897,CAMP_00001,2024-01-07,True,2024-01-17,True,15.0
CU_008061,CAMP_00001,2024-01-10,False,,False,15.0
CU_002140,CAMP_00001,2024-01-09,False,,False,15.0
CU_006905,CAMP_00001,2024-01-10,True,2024-01-08,True,15.0
CU_004143,CAMP_00001,2024-01-10,False,,False,15.0
CU_007195,CAMP_00001,2024-01-07,False,,False,15.0
CU_008181,CAMP_00001,2024-01-07,True,2024-01-14,True,15.0
CU_004377,CAMP_00001,2024-01-07,True,2024-01-10,True,15.0
CU_001041,CAMP_00001,2024-01-07,True,2024-01-11,True,15.0
CU_001523,CAMP_00001,2024-01-09,False,,False,15.0
CU_004317,CAMP_00001,2024-01-09,False,,False,15.0
CU_009389,CAMP_00001,2024-01-10,False,,False,15.0
CU_008962,CAMP_00001,2024-01-10,True,2024-01-14,True,15.0
CU_004458,CAMP_00001,2024-01-08,True,2024-01-13,True,15.0
CU_004342,CAMP_00001,2024-01-10,False,,False,15.0
CU_004832,CAMP_00001,2024-01-10,True,2024-01-12,True,15.0
CU_007567,CAMP_00001,2024-01-09,False,,False,15.0
CU_008423,CAMP_00001,2024-01-08,False,,False,15.0
CU_000087,CAMP_00001,2024-01-10,False,,False,15.0
CU_001145,CAMP_00001,2024-01-08,False,,False,15.0
CU_003312,CAMP_00001,2024-01-09,False,,False,15.0
CU_009832,CAMP_00001,2024-01-09,True,2024-01-16,True,15.0
CU_003547,CAMP_00001,2024-01-08,False,,False,15.0
CU_002867,CAMP_00001,2024-01-07,True,2024-01-14,True,15.0
CU_002163,CAMP_00001,2024-01-10,True,2024-01-10,True,15.0
CU_004723,CAMP_00001,2024-01-08,False,,False,15.0
CU_005223,CAMP_00001,2024-01-08,True,2024-01-15,False,15.0
CU_003344,CAMP_00001,2024-01-10,False,,False,15.0
CU_006461,CAMP_00001,2024-01-08,False,,False,15.0
CU_004078,CAMP_00001,2024-01-08,False,,False,15.0
CU_009043,CAMP_00001,2024-01-10,False,,False,15.0
CU_006336,CAMP_00001,2024-01-10,False,,False,15.0
CU_002811,CAMP_00001,2024-01-08,False,,False,15.0
CU_006531,CAMP_00001,2024-01-07,False,,False,15.0
CU_003303,CAMP_00001,2024-01-10,False,,False,15.0
CU_001189,CAMP_00001,2024-01-10,False,,False,15.0
CU_002614,CAMP_00001,2024-01-07,False,,False,15.0
CU_001688,CAMP_00001,2024-01-08,False,,False,15.0
CU_004676,CAMP_00001,2024-01-10,True,2024-01-13,True,15.0
CU_000396,CAMP_00001,2024-01-09,False,,False,15.0
CU_003412,CAMP_00001,2024-01-09,False,,False,15.0
CU_000827,CAMP_00001,2024-01-09,False,,False,15.0
CU_003790,CAMP_00001,2024-01-07,False,,False,15.0
CU_009438,CAMP_00001,2024-01-09,True,2024-01-11,True,15.0
CU_008445,CAMP_00001,2024-01-09,False,,False,15.0
CU_007986,CAMP_00001,2024-01-08,True,2024-01-14,True,15.0
CU_004201,CAMP_00001,2024-01-09,True,2024-01-09,False,15.0
CU_000725,CAMP_00001,2024-01-10,True,2024-01-08,True,15.0
